"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","10.2469","10.4531","10.657","10.8551","11.0415","11.2194","11.5069","11.6718","12.2338","12.4857","12.6755","12.937","13.182","13.3622","13.6488","13.9676","13.8472","14.3017","14.5499","14.8981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","384746.71821","265076.70912","278192.08724","296153.8053","269903.4576","303388.4675","286699.8136","319345.1963","327883.6744","396278.3059","359098.5521","327764.3155","361468.6268","359525.6917","313396.086","317176.2149","314774.5605","376226.647","313076.9568","341636.5722","330740","331400","337860","338280","344760","350310","352330","357750","374740","377590","377850","382600","405520","417940","426540","443630","444700","472630","491160","496350","515480","523850","534240","538060","543720","554570","563050","564380","570040","","",
"Afghanistan","AFG","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","10202","10201.5","9170.59","9403.54","9987.93","10476.6","10535.6","10455.9","10380.1","10176.2","10376.6","10304.8","10259.8","9858.04","9054.65","8308.71","7415.09","7485.19","7920.27","7465.04","8970","9070","8990","8890","8960","9140","9930","10600","11100","11870","10590","9360","11190","11480","11460","11670","14890","18100","22170","25430","30010","39480","48780","58130","67770","76590","78150","79610","81510","","",
"Africa Western and Central","AFW","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","143714.5355","145309.3393","149181.1477","161770.8276","146860.2617","145799.6598","154139.518","166472.3378","152491.7936","176884.3183","194409.5238","166798.95","180682.3433","174269.8066","172234.0128","164566.4507","168040.6171","172553.3452","167777.6017","186109.2289","218010","231260","239050","247670","256810","251710","250630","249960","250930","248020","250940","253200","261970","277080","284470","299570","301570","303450","306140","305760","315610","327790","336470","348150","356630","368640","383250","386400","392130","","",
"Angola","AGO","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","23376.6","14500","15590","16651.7","15008.3","17061.4","15036.7","17437","18279.2","22903.7","19634.2","17404.8","19170.3","19184.3","15733","16094.5","15881.2","20493","15798","17298.5","20610","21030","21470","21770","22180","22460","21360","21470","23130","22330","23000","24240","26220","29280","30260","31110","31180","33610","34160","35590","37730","38100","37110","37420","36700","37180","37400","37450","35520","","",
"Albania","ALB","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","1763.64","1717.47","1737.08","1794.07","1815.36","1864.83","1943.17","2002.1","2113.28","2182","2228.41","2235.5","2245.35","2306.81","2327.29","2288.99","2368.58","2496.97","2606.35","2648.33","3660","3600","3500","3560","4130","4120","3950","3750","3620","3690","3750","3690","3640","3680","3590","3580","3530","3400","3230","3110","3120","3120","3170","3190","3230","3250","3250","3210","3160","","",
"Andorra","AND","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","30","30","30","30","30","30","30","30","30","40","40","40","40","40","50","50","50","50","50","50","50","50","50","50","50","50","","",
"Arab World","ARB","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","220969.231","229758.136","242967.361","270507.397","258537.154","254533.196","285842.253","287198.892","284707.252","288841.228","285216.878","244921.337","233559.891","225065.998","218171.565","217994.287","227845.969","230602.062","237653.028","249031.136","270310","275890","285160","295600","306160","318120","329240","341370","352420","364640","376760","382970","395300","405880","417240","429040","434100","442550","447370","452990","456950","445680","436210","427240","418540","408120","417260","424580","433660","","",
"United Arab Emirates","ARE","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","12873","15994.8","17430.9","22124.5","22447.2","22133.1","26644.6","25239.9","28053.7","19337","18727.5","14826.2","13402","12827.7","15765.2","15227.5","13462.8","12880.4","12085.9","13242.5","11690","12020","12350","12680","13040","14790","16550","18300","20060","21830","23580","25770","27970","30160","32330","34590","35390","36200","37010","37940","38550","40710","42870","45120","47360","49540","50680","51830","52960","","",
"Argentina","ARG","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","84917.8","84729.1","88496","90791.3","91811.9","93881","97258.4","99683.6","96972.3","96622.1","95741.2","93157.7","91897.8","94102.1","94813.5","94616.9","94628.5","95248.5","98104.2","100292","105850","105660","107470","106960","108430","108840","107260","107560","105750","108720","109870","109440","112740","119190","120420","120630","122760","123540","122470","117630","109830","109130","111740","113350","114180","114090","115580","117570","117850","","",
"Armenia","ARM","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","1317.98","1384.62","1440.48","1485.25","1541.25","1587.12","1590.73","1582.01","1575.56","1562.06","1542.94","1523.36","1531.89","1564.49","1605.02","1628.66","1632.63","1646.58","2491.32","2669.38","3590","3420","3170","2940","2770","2610","2460","2300","2100","1950","1830","1880","1930","1980","2040","2070","2150","2240","2310","2310","2370","2370","2420","2500","2540","2560","2570","2510","2430","","",
"American Samoa","ASM","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","6.12116","6.165","6.23502","6.32936","6.45378","6.57608","6.67545","6.83219","6.8685","6.89215","6.96729","7.09575","7.35214","7.62757","7.91671","8.17822","8.43484","8.73258","9.01238","9.35252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","24.3148","26.4249","26.207","26.476","25.5003","25.4343","25.0089","26.1641","27.7674","31.4964","34.4073","34.1812","36.7223","35.6842","35.8914","37.3737","37.3027","37.4902","37.7617","35.4074","130","130","140","140","150","150","160","160","170","170","180","180","180","190","190","190","200","200","200","200","190","190","190","190","200","200","200","200","200","","",
"Australia","AUS","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","94290.8","93855.2","106378","97724.1","102739","107139","114340","110996","99816.3","106411","109630","97530.1","107729","98933.4","101429","113739","109178","103771","103628","109117","156040","155750","155170","151830","150660","149190","142110","144210","146130","157130","167630","175690","167170","127110","148010","128800","147870","144830","128530","131460","119320","168820","166730","127150","135190","133430","118280","139810","139070","","",
"Austria","AUT","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","9022.21","8936.1","8915.63","9092.98","9242.43","9225.31","9256.6","9379.33","9412.63","9606.65","9714.19","9733.11","9873.12","9909.95","10102.8","10297.3","10245.4","10168.7","10346.8","10158.8","11570","11510","11320","10990","10610","10120","9890","9590","9310","9170","8940","8800","8690","8530","8440","8230","8060","7880","7790","7600","7580","7410","7250","7110","6950","6880","6800","6740","6660","","",
"Azerbaijan","AZE","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","6397.68","6584.08","6796.62","7016.63","7342","7682.02","7925.1","8129.77","8380.82","8611.2","8835.25","9008.95","9255.25","9554.46","9915.83","10274.8","10683.4","11020.6","11206.4","11350.3","16390","15840","14830","14280","13800","13500","14320","15210","16080","16940","17780","19200","20560","21960","23320","24670","30040","35330","40640","45930","51220","50030","48880","47740","46580","45430","44820","44230","43600","","",
"Burundi","BDI","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","1468.92","1458.38","1516.03","1545.3","1565.52","1601.2","1603.62","1613.04","1638.31","1676.56","1554.06","1438.55","1460.67","1478.26","1518.95","1486","1595.95","1598.36","1632.1","1664.13","1560","1600","1650","1670","1650","1700","1670","1670","1590","1490","1400","1370","1320","1300","1290","1280","1340","1380","1440","1520","1630","1670","1640","1800","1730","1690","1860","2130","2140","","",
"Belgium","BEL","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","14123.1","13728.7","13629","13962.1","14215.9","13980.4","13888.2","13986.8","13757.1","13809.5","13818.4","13761.3","13726.5","13607.2","13811.8","13979.3","13626.9","13297.9","12429.8","12415.3","13230","13320","13140","12950","12980","13110","12980","12780","12530","12600","12120","11600","11070","10400","10270","10000","9860","9640","9450","9370","9260","9010","8840","8630","8540","8540","8450","8180","8200","","",
"Benin","BEN","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","3460.96","3378.42","3381.77","3723.05","2893.84","3191.05","3335.67","3905","3344.62","3645.15","4533.24","3821.82","4412.49","4154.09","4143.93","3827.9","3778.02","3967.14","3733.38","4082.09","2700","2800","2860","2890","3070","2920","3270","3360","3500","3390","3680","3320","3630","3610","3640","4060","4020","4200","4200","4380","4520","4710","4840","5080","5090","5220","5380","5420","5530","","",
"Burkina Faso","BFA","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","4613.42","4602.1","4405.45","4330.75","4135.98","4289.1","4417.34","4638.97","4609.52","4850.84","5223.71","5180.78","5437.93","5473.43","5633.82","6038.6","6180.2","6375.34","6461.33","6710.69","7110","7330","7520","7670","7870","8110","8080","8330","8340","8440","8950","8680","9050","11110","11470","11820","11760","12050","12450","12890","13500","13750","13810","14200","14490","14690","15380","15590","15600","","",
"Bangladesh","BGD","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","91304.9","86454.8","88057.2","88622.8","87762.2","90812.2","88206.1","88930.3","91214.2","92273.5","87058.4","88085","88597.9","83607.6","86141.6","87075","88140.6","86484.1","86033.6","87640.1","64380","64460","65050","65130","65940","66670","66340","66920","66470","68350","68940","68930","70230","71050","70730","72360","73270","73940","76420","77310","78460","79160","79550","79980","80550","80900","80240","82590","83790","","",
"Bulgaria","BGR","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","9939.9","10259.6","10689.5","11019.7","11132.3","11700.7","12117.2","12384.8","12717.1","13107.4","13535.1","13953.9","14382","14672.7","14989.7","15044.5","15245.3","15485.2","15495.7","15762.4","16390","15360","14820","13520","11730","12020","12080","11540","11050","10650","10570","9960","9430","9830","9310","8880","8490","8570","8290","7940","7780","8040","7750","7490","7470","7380","7090","7030","6910","","",
