"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","1.8261976","1.8269478","1.8448131","1.8220901","1.821157","1.8296076","2.6258457","2.7775194","5.303201","6.067785","6.170271","7.047013","7.624574","7.290487","7.828492","8.650364","6.47466","8.943996","11.000443","11.871481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","316355.144832","204036.14069","215244.876348","230103.820342","200117.759414","230850.35453","212867.189182","242567.149219","245727.406864","308081.455105","275309.96894","240382.175909","270046.080125","264398.067768","217867.849867","215743.085253","210116.174441","267243.990962","205320.3594","229784.455149","209670","209330","212110","211680","214300","214790","212410","210570","219470","215020","211260","210450","224400","229140","231320","239810","233690","249430","257080","256110","267280","272840","275740","274830","276360","279960","284380","286140","286710","","",
"Afghanistan","AFG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","3042.2563","3006.1382","2530.158","2674.4041","2937.3182","3153.723","3265.633","3268.981","3272.918","3214.545","3275.026","3256.705","3327.323","3188.66","3062.1521","2862.5369","2516.9024","2677.1073","2772.0448","2771.307","3250","3290","3200","3200","2990","3060","3290","3590","3880","4150","3620","3220","3700","3840","3810","3970","4060","4250","4790","5320","5990","6610","7160","7720","8550","8590","9120","9450","8960","","",
"Africa Western and Central","AFW","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","97903.620486","93716.362322","92133.991719","99025.117313","75307.952025","82953.585689","86958.447944","103971.650727","88338.262222","98331.800577","122556.091579","101671.748544","118129.376736","108903.280209","105583.049885","95622.780606","97827.128358","104153.740914","97273.257527","108143.084786","88780","92920","94800","97440","158000","159150","162380","164390","169940","170370","176820","171520","173450","180970","180320","188710","189080","189510","191720","189430","196050","201630","204520","210520","212830","218280","228580","229100","230890","","",
"Angola","AGO","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","28392.652","15844.224","16758.848","17638.938","14997.738","17645.913","14751.908","16804.108","17304.324","23134.711","17712.687","14191.366","16174.529","15584.475","10110.247","9936.771","9368.448","15491.723","8688.463","10695.651","15240","15270","15320","15270","15220","15210","13680","13440","14860","13740","14160","14500","15700","18000","18110","17820","16460","17620","16700","16790","17680","18270","17330","17900","17350","17950","18070","18490","16440","","",
"Albania","ALB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","741.8982","756.0311","756.8061","803.6471","819.4943","818.462","925.2384","1007.1559","1207.7662","1229.9033","1239.9442","1287.8175","1254.6661","1481.1087","1463.5875","1467.6981","1542.715","1487.7582","1544.5967","1694.6119","1590","1210","1130","1170","1370","1330","1190","1130","1170","1120","1180","1150","1290","1310","1270","1280","1220","1220","1140","1140","1130","1170","1180","1150","1170","1210","1250","1210","1100","","",
"Andorra","AND","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","0.023777","0.023372791","0.022968582","0.022564373","0.022160164","0.021755955","0.021351746","0.020947537","0.020543328","0.020139119","0.01973491","0.019330701","0.018926492","0.018522283","0.018118074","0.017713865","0.017309656","0.016905447","0.016501238","0.016097029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Arab World","ARB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","53859.364226","54223.315169","55425.760839","57593.559653","52106.468141","55904.235299","57842.976105","63031.6831","60426.4369","65268.32039","77900.41894","74347.20297","82507.25516","81393.39788","82006.79054","80549.90183","82842.42282","85197.96402","85476.84219","88559.34796","74160","73020","73880","76960","77950","79790","83110","84430","88230","89550","95190","94960","98300","97600","101380","103400","103810","105960","105840","108420","107800","110440","111820","113600","113470","114330","115990","117040","118310","","",
"United Arab Emirates","ARE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","183.08941","220.04513","238.86275","295.15782","306.12655","303.45342","338.6192","347.9502","400.0426","350.9789","439.8218","445.9753","472.5888","498.2289","804.6794","824.259","883.81","937.6322","978.2019","1081.063","1560","1670","1780","1870","1980","2300","2620","2920","3230","3550","3850","3930","4070","4160","4230","4330","4540","4760","5010","5230","5430","5680","5900","6200","6470","6770","6890","7020","7140","","",
"Argentina","ARG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","32317.19","30727.634","32740.34","32966.95","33176.2","34420.23","36270","35827.01","36047.42","36583.72","36149.72","35149.97","35116.49","35544.91","35504.3","35305.28","35461.83","36097.33","36817.15","35704.56","35510","35380","36100","35620","36630","36720","37020","37410","37040","37320","39450","39310","39890","43790","43980","43540","44930","47340","45970","40510","41650","42640","42120","43470","43850","43430","46380","48340","47930","","",
